,text
846,It was in Rome the Queen of the World that I suffered a misfortune that reduced me to misery despair The bright sun deep azure sky were oppressive but nought was so hateful as the voice of Man I loved to walk by the shores of the Tiber which were solitary if the sirocco blew to see the swift clouds pass over St. Peters and the many domes of Rome or if the sun shone I turned my eyes from the sky whose light was too dazzling gay to be reflected in my tearful eyes I turned them to the river whose swift course was as the speedy departure of happiness and whose turbid colour was gloomy as grief Whether I slept I know not or whether it was in one of those many hours which I spent seated on the ground my mind a chaos of despair my eyes for ever wet by tears but I was here visited by a lovely spirit whom I have ever worshiped who tried to repay my adoration by diverting my mind from the hideous memories that racked it.
847,"How few in youth's prime, moor their vessels on the ""golden sands,"" and collect the painted shells that strew them."
848,"I was dressed also in a whimsical nunlike habit which denoted that I did not retire to solitude from necessity, but that I might indulge in a luxury of grief, and fanciful seclusion."
849,"The patriarchal lives of my protectors caused these impressions to take a firm hold on my mind; perhaps, if my first introduction to humanity had been made by a young soldier, burning for glory and slaughter, I should have been imbued with different sensations."
850,"I understand your feeling,"" continued he, perceiving that I wished to interrupt him; ""but you are mistaken, my friend, if thus you will allow me to name you; nothing can alter my destiny; listen to my history, and you will perceive how irrevocably it is determined."""
851,"Her head lay on my shoulder, her breath waved my hair, her heart beat near mine, transport made me tremble, blinded me, annihilated me till a suppressed groan, bursting from her lips, the chattering of her teeth, which she strove vainly to subdue, and all the signs of suffering she evinced, recalled me to the necessity of speed and succour."
852,"Like a refreshing shower on an arid soil they revived me, and although I still kept their cause secret he led me to pour forth my bitter complaints and to clothe my woe in words of gall and fire."
853,"She died on the first approach of cold weather, at the beginning of this last winter."
854,A murmur of approbation rose after his speech.
855,Do not talk of reflection; from this moment I abjure it; this is my only happy moment during a long interval of time.
856,"Meanwhile Clerval occupied himself, so to speak, with the moral relations of things."
857,"I hired men to row and took an oar myself, for I had always experienced relief from mental torment in bodily exercise."
858,"you could not hope to conquer, and yet you gave me the pain of a triumph over my dearest friend."""
859,"I saw the brow of Idris clouded; I again felt, that we were enchained to the car of fate, over whose coursers we had no control."
860,My strength was gone.
861,"At the beginning of winter our Alfred, now nine years of age, first went to school at Eton."
862,"Suddenly he started up and fled from me; I pursued him: we sped over the fields, and by the skirts of woods, and on the banks of rivers; he flew fast and I followed."
